itemUID,issueDate,itemResidency,duration,durationValue,residency,state,itemType,itemYear,price,birthYear,gender,county,customerUID,age
1611,2010-04-26,T,Annual,1,T,NE,Hunt Fish Combo,2010,30,1950,Male,merrick,1,60
3341,2010-08-23,T,Season,1,T,NE,Deer,2010,30,1950,Male,merrick,1,60
3342,2010-08-23,T,Season,1,T,NE,Deer,2010,30,1950,Male,merrick,1,60
7637,2011-05-30,T,Annual,1,T,NE,Hunt Fish Combo,2011,30,1950,Male,merrick,1,61
8705,2011-08-12,T,Season,1,T,NE,Deer,2011,30,1950,Male,merrick,1,61
8706,2011-08-12,T,Season,1,T,NE,Deer,2011,30,1950,Male,merrick,1,61
11655,2012-02-27,T,Annual,1,T,NE,Hunt Fish Combo,2012,30,1950,Male,merrick,1,62
15257,2012-10-22,T,Season,1,T,NE,Deer,2012,30,1950,Male,merrick,1,62
17522,2013-04-09,T,Annual,1,T,NE,Hunt Fish Combo,2013,30,1950,Male,merrick,1,63
19648,2013-08-20,T,Season,1,T,NE,Deer,2013,30,1950,Male,merrick,1,63
19649,2013-08-20,T,Season,1,T,NE,Deer,2013,30,1950,Male,merrick,1,63
22113,2014-01-20,T,Annual,1,T,NE,Hunt Fish Combo,2014,30,1950,Male,merrick,1,64
24874,2014-08-19,T,Season,1,T,NE,Deer,2014,30,1950,Male,merrick,1,64
24875,2014-08-19,T,Season,1,T,NE,Deer,2014,30,1950,Male,merrick,1,64
31360,2015-11-06,T,Annual,1,T,NE,Hunt,2015,14,1950,Male,merrick,1,65
31361,2015-11-06,T,Season,1,T,NE,Deer,2015,30,1950,Male,merrick,1,65
34814,2016-06-07,T,Annual,1,T,NE,Hunt Fish Combo,2016,31,1950,Male,merrick,1,66
36229,2016-09-26,T,Season,1,T,NE,Deer,2016,31,1950,Male,merrick,1,66
39995,2017-05-30,T,Annual,1,T,NE,Hunt Fish Combo,2017,37,1950,Male,merrick,1,67
42412,2017-11-12,T,Season,1,T,NE,Deer,2017,88,1950,Male,merrick,1,67
43539,2018-02-05,T,Annual,1,T,NE,Hunt Fish Combo,2018,37,1950,Male,merrick,1,68
46941,2018-10-31,T,Season,1,T,NE,Deer,2018,37,1950,Male,merrick,1,68
351,2010-01-05,T,Annual,1,T,NE,Hunt Fish Combo,2010,30,1956,Male,butler,2,54
