stateFP,countyFP,gender,ageGroup,population,state,county
01,001,Female,0-17,6541,AL,autauga
01,001,Female,18-24,2234,AL,autauga
01,001,Female,25-34,3554,AL,autauga
01,001,Female,35-44,3875,AL,autauga
01,001,Female,45-54,4042,AL,autauga
01,001,Female,55-64,3459,AL,autauga
01,001,Female,65+,4432,AL,autauga
01,001,Male,0-17,6968,AL,autauga
01,001,Male,18-24,2536,AL,autauga
01,001,Male,25-34,3268,AL,autauga
01,001,Male,35-44,3601,AL,autauga
01,001,Male,45-54,3931,AL,autauga
01,001,Male,55-64,3184,AL,autauga
01,001,Male,65+,3411,AL,autauga
01,003,Female,0-17,21871,AL,baldwin
01,003,Female,18-24,7546,AL,baldwin
01,003,Female,25-34,11395,AL,baldwin
01,003,Female,35-44,12990,AL,baldwin
01,003,Female,45-54,14186,AL,baldwin
01,003,Female,55-64,15199,AL,baldwin
01,003,Female,65+,20646,AL,baldwin
01,003,Male,0-17,23128,AL,baldwin
01,003,Male,18-24,7793,AL,baldwin
01,003,Male,25-34,11354,AL,baldwin
01,003,Male,35-44,12377,AL,baldwin
01,003,Male,45-54,13455,AL,baldwin
01,003,Male,55-64,13379,AL,baldwin
01,003,Male,65+,18041,AL,baldwin
01,005,Female,0-17,2712,AL,barbour
01,005,Female,18-24,969,AL,barbour
01,005,Female,25-34,1438,AL,barbour
01,005,Female,35-44,1241,AL,barbour
01,005,Female,45-54,1588,AL,barbour
01,005,Female,55-64,1687,AL,barbour
01,005,Female,65+,2590,AL,barbour
01,005,Male,0-17,2802,AL,barbour
01,005,Male,18-24,1284,AL,barbour
01,005,Male,25-34,2323,AL,barbour
01,005,Male,35-44,1954,AL,barbour
01,005,Male,45-54,1943,AL,barbour
01,005,Male,55-64,1689,AL,barbour
01,005,Male,65+,1981,AL,barbour
01,007,Female,0-17,2096,AL,bibb
01,007,Female,18-24,909,AL,bibb
01,007,Female,25-34,1184,AL,bibb
01,007,Female,35-44,1271,AL,bibb
01,007,Female,45-54,1547,AL,bibb
01,007,Female,55-64,1408,AL,bibb
01,007,Female,65+,1914,AL,bibb
01,007,Male,0-17,2632,AL,bibb
01,007,Male,18-24,1084,AL,bibb
01,007,Male,25-34,2068,AL,bibb
01,007,Male,35-44,1689,AL,bibb
01,007,Male,45-54,1854,AL,bibb
01,007,Male,55-64,1436,AL,bibb
01,007,Male,65+,1488,AL,bibb
01,009,Female,0-17,6696,AL,blount
01,009,Female,18-24,2166,AL,blount
01,009,Female,25-34,3333,AL,blount
01,009,Female,35-44,3500,AL,blount
01,009,Female,45-54,4107,AL,blount
01,009,Female,55-64,3797,AL,blount
01,009,Female,65+,5578,AL,blount
01,009,Male,0-17,6869,AL,blount
01,009,Male,18-24,2461,AL,blount
01,009,Male,25-34,3367,AL,blount
01,009,Male,35-44,3631,AL,blount
01,009,Male,45-54,4062,AL,blount
01,009,Male,55-64,3670,AL,blount
01,009,Male,65+,4430,AL,blount
01,011,Female,0-17,1127,AL,bullock
01,011,Female,18-24,425,AL,bullock
01,011,Female,25-34,447,AL,bullock
01,011,Female,35-44,663,AL,bullock
01,011,Female,45-54,614,AL,bullock
01,011,Female,55-64,667,AL,bullock
01,011,Female,65+,919,AL,bullock
01,011,Male,0-17,1039,AL,bullock
01,011,Male,18-24,510,AL,bullock
01,011,Male,25-34,730,AL,bullock
01,011,Male,35-44,944,AL,bullock
01,011,Male,45-54,940,AL,bullock
01,011,Male,55-64,782,AL,bullock
01,011,Male,65+,671,AL,bullock
